Parameter,Coefficient,SE,OR,CI_Lower,CI_Upper,p_value
0,"{'prev_strategy': 0.8579711718145074, 'strategy_momentum': 0.4571709176190548, 'strategy_diversity': -0.7459211909028557, 'frame': 0.4442801706185983, 'frame_changed': 0.7752528678619404, 'position_squared': 0.5426398241674278, 'role_stage': 0.0, 'frame_stage': 0.0, 'frame_role': 0.0, 'time_weight': 2.1705592966697114}",0.1596767924153731,"{'prev_strategy': 2.3583711069507447, 'strategy_momentum': 1.5795988424516907, 'strategy_diversity': 0.47429718038772306, 'frame': 1.559367313330711, 'frame_changed': 2.1711410695758073, 'position_squared': 1.7205428029800696, 'role_stage': 1.0, 'frame_stage': 1.0, 'frame_role': 1.0, 'time_weight': 8.76318388994415}",-1.3518225459306252,-0.7541735180107991,1
1,"{'prev_strategy': 2.316932151565792, 'strategy_momentum': 0.4207094634697484, 'strategy_diversity': -0.6972496716550226, 'frame': 0.28641397584733314, 'frame_changed': 1.0390492849304658, 'position_squared': -0.006488130969922806, 'role_stage': 0.0, 'frame_stage': 0.0, 'frame_role': 0.0, 'time_weight': -0.025952523879691224}",0.05184211237421215,"{'prev_strategy': 10.14450471582231, 'strategy_momentum': 1.5230417148661635, 'strategy_diversity': 0.49795295631276226, 'frame': 1.331643609453726, 'frame_changed': 2.8265285133027658, 'position_squared': 0.9935328715050011, 'role_stage': 1.0, 'frame_stage': 1.0, 'frame_role': 1.0, 'time_weight': 0.9743813483567689}",-0.4124253670158674,-0.2151893558013234,1
